clock, x_dist, x_vel, x_accel, y_dist, y_vel, y_accel, z_dist, z_vel, z_accel, temperature, gyro_x, gyro_y, gyro_z,undef,undef,undef,undef,undef,undef,undef,undef,undef,lat,lon
0.47,0.002829,0,0,0,0,0,0.003754,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.48,0.002889,0,0,0,0,0,0.003833,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.49,0.002949,0,0,0,0,0,0.003913,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.5,0.003009,0,0,0,0,0,0.003993,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.51,0.003069,0,0,0,0,0,0.004073,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.52,0.003129,0,0,0,0,0,0.004153,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.53,0.00319,0,0,0,0,0,0.004233,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.54,0.00325,0,0,0,0,0,0.004313,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.55,0.00331,0,0,0,0,0,0.004392,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.56,0.00337,0,0,0,0,0,0.004472,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.57,0.00343,0,0,0,0,0,0.004552,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.58,0.003491,0,0,0,0,0,0.004632,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.59,0.003551,0,0,0,0,0,0.004712,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.6,0.003611,0,0,0,0,0,0.004792,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.61,0.003671,0,0,0,0,0,0.004872,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.62,0.003731,0,0,0,0,0,0.004952,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.63,0.003791,0,0,0,0,0,0.005031,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.64,0.003852,0,0,0,0,0,0.005111,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.65,0.003912,0,0,0,0,0,0.005191,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.66,0.003972,0,0,0,0,0,0.005271,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.67,0.004032,0,0,0,0,0,0.005351,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.68,0.004092,0,0,0,0,0,0.005431,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.69,0.004153,0,0,0,0,0,0.005511,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.7,0.004213,0,0,0,0,0,0.00559,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.71,0.004273,0,0,0,0,0,0.00567,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.72,0.004333,0,0,0,0,0,0.00575,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.73,0.004393,0,0,0,0,0,0.00583,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.74,0.004453,0,0,0,0,0,0.00591,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.75,0.004514,0,0,0,0,0,0.00599,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.76,0.004574,0,0,0,0,0,0.00607,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.77,0.004634,0,0,0,0,0,0.006149,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.78,0.004694,0,0,0,0,0,0.006229,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.79,0.004754,0,0,0,0,0,0.006309,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.8,0.004815,0,0,0,0,0,0.006389,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.81,0.004875,0,0,0,0,0,0.006469,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.82,0.004935,0,0,0,0,0,0.006549,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.83,0.004995,0,0,0,0,0,0.006629,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.84,0.005055,0,0,0,0,0,0.006709,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.85,0.005115,0,0,0,0,0,0.006788,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.86,0.005176,0,0,0,0,0,0.006868,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.87,0.005236,0,0,0,0,0,0.006948,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.88,0.005296,0,0,0,0,0,0.007028,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.89,0.005356,0,0,0,0,0,0.007108,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.9,0.005416,0,0,0,0,0,0.007188,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.91,0.005477,0,0,0,0,0,0.007268,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.92,0.005537,0,0,0,0,0,0.007347,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.93,0.005597,0,0,0,0,0,0.007427,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.94,0.005657,0,0,0,0,0,0.007507,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.95,0.005717,0,0,0,0,0,0.007587,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.96,0.005777,0,0,0,0,0,0.007667,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.97,0.005838,0,0,0,0,0,0.007747,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.98,0.005898,0,0,0,0,0,0.007827,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.99,0.005958,0,0,0,0,0,0.007906,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1,0.006018,0,0,0,0,0,0.007986,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.01,0.006078,0,0,0,0,0,0.008066,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.02,0.006139,0,0,0,0,0,0.008146,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.03,0.006199,0,0,0,0,0,0.008226,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.04,0.006259,0,0,0,0,0,0.008306,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.05,0.006319,0,0,0,0,0,0.008386,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.06,0.006379,0,0,0,0,0,0.008466,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.07,0.006439,0,0,0,0,0,0.008545,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.08,0.0065,0,0,0,0,0,0.008625,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.09,0.00656,0,0,0,0,0,0.008705,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.1,0.00662,0,0,0,0,0,0.008785,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.11,0.00668,0,0,0,0,0,0.008865,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.12,0.00674,0,0,0,0,0,0.008945,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.13,0.006801,0,0,0,0,0,0.009025,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.14,0.006861,0,0,0,0,0,0.009104,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.15,0.006921,0,0,0,0,0,0.009184,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.16,0.006981,0,0,0,0,0,0.009264,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.17,0.007041,0,0,0,0,0,0.009344,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.18,0.007101,0,0,0,0,0,0.009424,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.19,0.007162,0,0,0,0,0,0.009504,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.2,0.007222,0,0,0,0,0,0.009584,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.21,0.007282,0,0,0,0,0,0.009663,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.22,0.007342,0,0,0,0,0,0.009743,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.23,0.007402,0,0,0,0,0,0.009823,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.24,0.007463,0,0,0,0,0,0.009903,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
1.25,0.007523,0,0,0,0,0,0.009983,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
